"ID","Genus","Species","Sex","Year","Tank","March","April"
"SL1","Silirus","glanis","Female",2014,"Tank1",24.23,74.287
"SL2","Silirus","glanis","Female",2014,"Tank1",25.7,79.026
"SL3","Silirus","glanis","Female",2014,"Tank1",27.27,73.911
"SL4","Silirus","glanis","Male",2014,"Tank1",20.4,79.22
"SL5","Silirus","glanis","Male",2014,"Tank1",32.23,75.444
"SL6","Silirus","glanis","Female",2014,"Tank1",25.49,72.205
"SL7","Silirus","glanis","Male",2014,"Tank1",36.52,78.574
"SL8","Silirus","glanis","Female",2014,"Tank1",27.55,74.481
"SL9","Silirus","glanis","Female",2014,"Tank1",27,79.848
"SL10","Silirus","glanis","Male",2014,"Tank1",25.92,72.677
"SL11","Silirus","glanis","Female",2014,"Tank1",26.81,71.145
"SL12","Silirus","glanis","Male",2014,"Tank1",30.47,72.495
"SL13","Silirus","glanis","Male",2014,"Tank1",24.79,80.802
"SL14","Silirus","glanis","Male",2014,"Tank1",26.48,80.136
"SL15","Silirus","glanis","Female",2014,"Tank1",28.05,82.546
"SL16","Silirus","glanis","Male",2014,"Tank1",27.16,75.436
"SL17","Silirus","glanis","Female",2014,"Tank1",23.29,80.347
"SL18","Silirus","glanis","Female",2014,"Tank1",32.83,74.449
"SL19","Silirus","glanis","Male",2014,"Tank1",25.62,73.873
"SL20","Silirus","glanis","Female",2014,"Tank1",24.41,81.626
"SL21","Silirus","glanis","Female",2014,"Tank1",29.12,77.8
"SL22","Silirus","glanis","Male",2014,"Tank1",27.27,78.71
"SL23","Silirus","glanis","Male",2014,"Tank1",31.1,78.153
"SL24","Silirus","glanis","Male",2014,"Tank1",27.21,76.128
"SL25","Silirus","glanis","Male",2014,"Tank1",29.1,72.099
"SL26","Silirus","glanis","Male",2014,"Tank2",27.77,73.554
"SL27","Silirus","glanis","Male",2014,"Tank2",24.62,76.565
"SL28","Silirus","glanis","Female",2014,"Tank2",25.38,74.937
"SL29","Silirus","glanis","Male",2014,"Tank2",26.77,76.816
"SL30","Silirus","glanis","Male",2014,"Tank2",25.44,75.758
"SL31","Silirus","glanis","Male",2014,"Tank2",25.43,76.248
"SL32","Silirus","glanis","Female",2014,"Tank2",27.79,71.474
"SL33","Silirus","glanis","Male",2014,"Tank2",30.75,78.232
"SL34","Silirus","glanis","Male",2014,"Tank2",27.3,70.116
"SL35","Silirus","glanis","Male",2014,"Tank2",26.35,84.163
"SL36","Silirus","glanis","Female",2014,"Tank2",27.05,79.172
"SL37","Silirus","glanis","Male",2014,"Tank2",28.16,76.381
"SL38","Silirus","glanis","Female",2014,"Tank2",33.31,75.531
"SL39","Silirus","glanis","Male",2014,"Tank2",26.03,77.137
"SL40","Silirus","glanis","Female",2014,"Tank2",24.45,74.114
