Species,Sex,Wing,Tarsus,Head,Bill
SSTS,Male,58,21.7,32.7,13.9
SSTS,Female,56.5,21.1,31.4,12.2
SSTS,Male,59,21,33.3,13.8
SSTS,Male,59,21.3,32.5,13.2
SSTS,Male,57,21,32.5,13.8
SSTS,Female,57,20.7,32.5,13.3
SSTS,Males,57,22,33.1,13.8
SSTS,Male,57,20.8,32.1,13.5
SSTS,Female,53.5,20.1,32.1,13.7
SSTS,Male,56.5,22.2,32.2,13.6
SSTS,Female,54.5,21.5,32.2,13.7
SSTS,Female,55,20.7,32.2,13.7
SSTS,Male,57,21.6,32.6,13.8
SSTS,Male,56,21.4,32.6,13.6
SSTS,Male,58.5,22,32.9,13.4
SSTS,Female,55,20.3,31.7,13.2
SSTS,Male,59,21,31.9,13.4
SSTS,Female,56.5,20.6,32,13.4
SSTS,Male,57.5,20.4,32.1,12.6
SSTS,Male,57.5,21.7,32.2,13
SSTS,Male,60,21.4,32.2,13.6
SSTS,Male,59,21.3,32.2,13.1
SSTS,Male,59,21.3,32.2,13.1
SSTS,Male,58,20.8,32.3,13.4
SSTS,Female,55,21.2,32.4,13.8
SSTS,Male,60.5,20.9,32.4,13.1
SSTS,Male,58.5,21.9,32.5,13.4
SSTS,Male,60,21.5,32.5,13.2
SSTS,Male,58.5,20.5,32.5,13.4
SSTS,Male,58,21.7,32.6,13.4
SSTS,Male,59.5,22,32.8,13.2
SSTS,Male,59,20.6,32.7,13.4
SSTS,Male,59,21.6,31.7,13.1
SSTS,Male,57,20.8,31.8,12.9
SSTS,Male,56.5,21.5,32.1,13
SSTS,Female,56,21.2,32.1,12.8
SSTS,Female,56,21.2,32.1,12.8
SSTS,Male,56.5,21,32.2,13.3
SSTS,Male,57,20.6,32.4,13.7
SSTS,Male,58,21.6,32.5,13.5
SSTS,Male,57.5,20.8,32.5,13.4
SSTS,Male,57,22.1,32.6,13.2
SSTS,Male,58,21.7,32.7,13.6
SSTS,Female,55.5,20.8,32.7,13.5
SSTS,Male,59,21,31.4,13.8
SSTS,Male,60,20.3,31.5,13.1
SSTS,Male,60,22.3,31.6,12.7
SSTS,Male,59,21.6,31.6,13.7
SSTS,Male,56,21.4,31.6,13
SSTS,Female,56.5,21.1,31.6,13.5
SSTS,Female,57,20.7,31.6,13.2
SSTS,Male,59,21.9,31.8,13.6
SSTS,Female,58,20.7,31.8,13.3
SSTS,Female,55,21.4,32,13.2
SSTS,Male,59,21.5,32.1,12.9
SSTS,Male,58,21.3,32.1,12.8
SSTS,Male,59,20.6,32.1,13.4
SSTS,Female,56.5,20.3,32.1,13.4
SSTS,Male,61,22.5,32.3,13.3
SSTS,Male,60,21.4,32.3,13.5
SSTS,Male,59,20.6,32.3,13.4
SSTS,Male,59,21.9,32.4,13.2
SSTS,Female,57.5,21.3,32.4,13.7
SSTS,Male,,21,32.4,12.9
SSTS,Male,59.5,21.5,32.5,13.4
SSTS,Male,60,21,32.5,13.7
SSTS,Male,58.5,21.1,32.6,13.8
SSTS,Male,58,22.2,32.7,13.6
SSTS,Male,61,21.9,32.9,13.3
SSTS,Male,60,22.4,33.1,13.3
SSTS,Male,59,22.1,31.2,13.7
SSTS,Male,60.5,21.2,31.4,13.3
SSTS,Female,56.5,21.1,31.5,13.2
SSTS,Female,57,21.7,31.6,13
SSTS,Female,54,19.5,31.6,13.2
SSTS,Male,59,21.6,31.7,13
SSTS,Female,54,20.5,31.8,13
SSTS,Female,54,20,31.8,13.5
SSTS,Male,57.5,22.1,31.9,13
SSTS,Male,59,21.4,31.9,13.3
SSTS,Male,59,21.4,31.9,13.7
SSTS,Male,59.5,21.6,32,13.6
SSTS,Male,59,21.5,32,12.6
SSTS,Male,59,21.4,32,12.8
SSTS,Male,60.5,21.8,32.1,13
SSTS,Male,59,21.7,32.1,12.6
SSTS,Male,57,21.5,32.1,13.3
SSTS,Male,58.5,20.8,32.1,12.7
SSTS,Male,56.5,21.5,32.2,13
