currentTime,totalCpuUsage...,totalMemory,availableMemory,usedMemory,percentageMemory...,totalSwap,freeSwap,usedSwap,percentageSwap...,totalPartition,usedPartition,freePartition,percentagePartition...,total_IO_read,total_IO_write
2020-01-28 15:14:55.878829,0,3.62GB,3.15GB,257.46MB,12.8,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,15.57MB
2020-01-28 15:15:56.127157,0,3.62GB,3.15GB,261.70MB,12.9,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,15.79MB
2020-01-28 15:16:56.385147,9.1,3.62GB,3.15GB,265.79MB,13,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,16.07MB
2020-01-28 15:17:56.647501,0,3.62GB,3.15GB,266.47MB,13.1,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,16.38MB
2020-01-28 15:18:56.910265,0,3.62GB,3.15GB,266.17MB,13,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,16.46MB
2020-01-28 15:19:57.172668,0,3.62GB,3.14GB,269.06MB,13.1,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,16.70MB
2020-01-28 15:20:57.385186,9.1,3.62GB,3.14GB,273.20MB,13.2,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,16.97MB
2020-01-28 15:21:57.647526,0,3.62GB,3.14GB,273.59MB,13.2,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,17.21MB
2020-01-28 15:22:57.909964,0,3.62GB,3.13GB,277.33MB,13.3,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,17.46MB
2020-01-28 15:23:58.135139,0,3.62GB,3.13GB,278.11MB,13.4,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,17.71MB
2020-01-28 15:24:58.385217,9.1,3.62GB,3.13GB,281.91MB,13.5,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,17.97MB
2020-01-28 15:25:58.647673,0,3.62GB,3.13GB,285.66MB,13.6,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,18.21MB
2020-01-28 15:26:58.910180,0,3.62GB,3.13GB,286.34MB,13.6,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,18.42MB
2020-01-28 15:27:59.135198,16.7,3.62GB,3.12GB,290.00MB,13.7,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,18.66MB
2020-01-28 15:28:59.385221,0,3.62GB,3.12GB,293.85MB,13.8,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,18.89MB
2020-01-28 15:29:59.619126,0,3.62GB,3.12GB,294.66MB,13.8,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,19.12MB
2020-01-28 15:30:59.881447,0,3.62GB,3.11GB,298.43MB,13.9,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,19.37MB
2020-01-28 15:32:00.143857,0,3.62GB,3.11GB,302.61MB,14,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,19.62MB
2020-01-28 15:33:00.385191,0,3.62GB,3.11GB,303.18MB,14,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,19.86MB
2020-01-28 15:34:00.647652,0,3.62GB,3.11GB,307.36MB,14.2,0.00B,0.00B,0.00B,0,9.78GB,5.34GB,3.93GB,57.6,292.50MB,20.19MB
