currentTime,totalCpuUsage...,totalMemory,availableMemory,usedMemory,percentageMemory...,totalSwap,freeSwap,usedSwap,percentageSwap...,totalPartition,usedPartition,freePartition,percentagePartition...,total_IO_read,total_IO_write
2020-01-28 21:16:18.220357,0,3.62GB,3.17GB,243.19MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,14.85MB
2020-01-28 21:17:18.482927,0,3.62GB,3.17GB,242.52MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,15.06MB
2020-01-28 21:18:18.700329,0,3.62GB,3.17GB,241.74MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,15.31MB
2020-01-28 21:19:18.963742,0,3.62GB,3.17GB,241.23MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,15.51MB
2020-01-28 21:20:19.212354,0,3.62GB,3.17GB,243.61MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,15.73MB
2020-01-28 21:21:19.474764,0,3.62GB,3.17GB,242.70MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,15.96MB
2020-01-28 21:22:19.692354,0,3.62GB,3.17GB,242.05MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,16.27MB
2020-01-28 21:23:19.954732,0,3.62GB,3.17GB,241.37MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,16.48MB
2020-01-28 21:24:20.204359,0,3.62GB,3.17GB,243.73MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,16.68MB
2020-01-28 21:25:20.466706,0,3.62GB,3.17GB,243.05MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,16.93MB
2020-01-28 21:26:20.716408,9.1,3.62GB,3.17GB,242.39MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,17.11MB
2020-01-28 21:27:20.978798,0,3.62GB,3.17GB,241.73MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,17.30MB
2020-01-28 21:28:21.196350,0,3.62GB,3.17GB,244.01MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,17.51MB
2020-01-28 21:29:21.460201,0,3.62GB,3.17GB,243.34MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,17.73MB
2020-01-28 21:30:21.708390,0,3.62GB,3.17GB,242.59MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,17.93MB
2020-01-28 21:31:21.970781,0,3.62GB,3.17GB,241.94MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,18.15MB
2020-01-28 21:32:22.220372,0,3.62GB,3.17GB,241.25MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,18.37MB
2020-01-28 21:33:22.482825,0,3.62GB,3.17GB,243.53MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,18.58MB
2020-01-28 21:34:22.700351,0,3.62GB,3.17GB,242.88MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,18.82MB
2020-01-28 21:35:22.962703,0,3.62GB,3.17GB,242.21MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,19.03MB
2020-01-28 21:36:23.212342,0,3.62GB,3.17GB,241.57MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,19.25MB
2020-01-28 21:37:23.474649,0,3.62GB,3.17GB,243.81MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,19.46MB
2020-01-28 21:38:23.724791,0,3.62GB,3.17GB,243.14MB,12.4,0.00B,0.00B,0.00B,0,9.78GB,5.39GB,3.88GB,58.1,292.33MB,19.68MB
