currentTime,totalCpuUsage...,totalMemory,availableMemory,usedMemory,percentageMemory...,totalSwap,freeSwap,usedSwap,percentageSwap...,totalPartition,usedPartition,freePartition,percentagePartition...,total_IO_read,total_IO_write
2020-01-28 15:37:52.452600,0,3.62GB,3.35GB,102.94MB,7.4,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.64MB,1.65MB
2020-01-28 15:38:52.718592,9.1,3.62GB,3.35GB,103.36MB,7.4,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.65MB,2.10MB
2020-01-28 15:39:52.981509,0,3.62GB,3.35GB,100.23MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.65MB,2.26MB
2020-01-28 15:40:53.245219,0,3.62GB,3.35GB,100.19MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,2.77MB
2020-01-28 15:41:53.509300,0,3.62GB,3.35GB,100.12MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,2.85MB
2020-01-28 15:42:53.773309,0,3.62GB,3.35GB,100.01MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,2.96MB
2020-01-28 15:43:54.037200,0,3.62GB,3.36GB,98.74MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,3.02MB
2020-01-28 15:44:54.278457,0,3.62GB,3.36GB,98.77MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,3.15MB
2020-01-28 15:45:54.542120,0,3.62GB,3.35GB,98.80MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,3.21MB
2020-01-28 15:46:54.773232,0,3.62GB,3.36GB,97.66MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,3.27MB
2020-01-28 15:47:55.036925,0,3.62GB,3.36GB,97.56MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,3.36MB
2020-01-28 15:48:55.253189,0,3.62GB,3.36GB,97.48MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,3.46MB
2020-01-28 15:49:55.509086,0,3.62GB,3.36GB,97.51MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,3.55MB
2020-01-28 15:50:55.765047,0,3.62GB,3.36GB,97.46MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,84.71MB,3.61MB
2020-01-28 15:51:56.028960,0,3.62GB,3.36GB,97.49MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,3.71MB
2020-01-28 15:52:56.292836,0,3.62GB,3.36GB,97.34MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,3.82MB
2020-01-28 15:53:56.533099,0,3.62GB,3.36GB,97.30MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,3.89MB
2020-01-28 15:54:56.757066,0,3.62GB,3.36GB,97.25MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,3.98MB
2020-01-28 15:55:57.019920,0,3.62GB,3.36GB,97.16MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,4.09MB
2020-01-28 15:56:57.273091,0,3.62GB,3.36GB,97.16MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,4.18MB
2020-01-28 15:57:57.525208,0,3.62GB,3.36GB,97.10MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,4.25MB
2020-01-28 15:58:57.781248,0,3.62GB,3.36GB,97.02MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,4.34MB
2020-01-28 15:59:58.044814,0,3.62GB,3.36GB,97.05MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,4.43MB
2020-01-28 16:00:58.261188,0,3.62GB,3.36GB,96.97MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,4.54MB
2020-01-28 16:01:58.517110,0,3.62GB,3.36GB,96.99MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,4.76MB
2020-01-28 16:02:58.773181,0,3.62GB,3.36GB,96.91MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,4.95MB
2020-01-28 16:03:59.037874,0,3.62GB,3.36GB,96.84MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.05MB
2020-01-28 16:04:59.283787,0,3.62GB,3.36GB,96.84MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.15MB
2020-01-28 16:05:59.508979,0,3.62GB,3.36GB,96.89MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.22MB
2020-01-28 16:06:59.765155,0,3.62GB,3.36GB,96.80MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.32MB
2020-01-28 16:08:00.028846,0,3.62GB,3.36GB,96.72MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.38MB
2020-01-28 16:09:00.292832,0,3.62GB,3.36GB,96.76MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.50MB
2020-01-28 16:10:00.532992,0,3.62GB,3.36GB,96.70MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.60MB
2020-01-28 16:11:00.757178,0,3.62GB,3.36GB,96.66MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.70MB
2020-01-28 16:12:01.020734,0,3.62GB,3.36GB,96.44MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.79MB
2020-01-28 16:13:01.273185,0,3.62GB,3.36GB,96.45MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.86MB
2020-01-28 16:14:01.525023,0,3.62GB,3.36GB,96.38MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,5.98MB
2020-01-28 16:15:01.781073,0,3.62GB,3.36GB,96.33MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,6.08MB
2020-01-28 16:16:02.044765,0,3.62GB,3.36GB,96.25MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,6.14MB
2020-01-28 16:17:02.261111,0,3.62GB,3.36GB,96.29MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,6.23MB
2020-01-28 16:18:02.517048,0,3.62GB,3.36GB,96.20MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,6.38MB
2020-01-28 16:19:02.773092,0,3.62GB,3.36GB,96.11MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,6.45MB
2020-01-28 16:20:03.036773,0,3.62GB,3.36GB,96.17MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,6.56MB
2020-01-28 16:21:03.253033,0,3.62GB,3.36GB,95.98MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,6.69MB
2020-01-28 16:22:03.509067,0,3.62GB,3.36GB,96.05MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,6.79MB
2020-01-28 16:23:03.765437,0,3.62GB,3.36GB,95.86MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,6.84MB
2020-01-28 16:24:04.029526,0,3.62GB,3.36GB,95.77MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,6.93MB
2020-01-28 16:25:04.288686,0,3.62GB,3.36GB,95.70MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,7.02MB
2020-01-28 16:26:04.533076,0,3.62GB,3.35GB,98.75MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,7.12MB
2020-01-28 16:27:04.757062,0,3.62GB,3.35GB,98.67MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,7.19MB
2020-01-28 16:28:05.020911,0,3.62GB,3.35GB,98.41MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,7.41MB
2020-01-28 16:29:05.273128,0,3.62GB,3.35GB,98.82MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,7.62MB
2020-01-28 16:30:05.525067,0,3.62GB,3.35GB,98.78MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,7.70MB
2020-01-28 16:31:05.780999,0,3.62GB,3.35GB,98.74MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,7.78MB
2020-01-28 16:32:06.045174,0,3.62GB,3.35GB,98.60MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,7.89MB
2020-01-28 16:33:06.261154,0,3.62GB,3.35GB,98.52MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,7.97MB
2020-01-28 16:34:06.517093,0,3.62GB,3.35GB,98.32MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,8.08MB
2020-01-28 16:35:06.773115,0,3.62GB,3.35GB,98.27MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,8.14MB
2020-01-28 16:36:07.036799,0,3.62GB,3.35GB,98.28MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,8.27MB
2020-01-28 16:37:07.252987,0,3.62GB,3.35GB,98.34MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,8.37MB
2020-01-28 16:38:07.509209,0,3.62GB,3.35GB,98.24MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,8.47MB
2020-01-28 16:39:07.765117,0,3.62GB,3.35GB,98.08MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,8.55MB
2020-01-28 16:40:08.028914,0,3.62GB,3.35GB,98.21MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,8.70MB
2020-01-28 16:41:08.292680,0,3.62GB,3.35GB,98.01MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,8.78MB
2020-01-28 16:42:08.533136,0,3.62GB,3.35GB,98.07MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,8.88MB
2020-01-28 16:43:08.757007,0,3.62GB,3.35GB,97.98MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,8.97MB
2020-01-28 16:44:09.020895,0,3.62GB,3.35GB,97.90MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,9.04MB
2020-01-28 16:45:09.273029,0,3.62GB,3.35GB,97.71MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,9.12MB
2020-01-28 16:46:09.525293,0,3.62GB,3.35GB,97.75MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,9.22MB
2020-01-28 16:47:09.780972,0,3.62GB,3.35GB,97.65MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,9.31MB
2020-01-28 16:48:10.045181,0,3.62GB,3.35GB,97.61MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,9.41MB
2020-01-28 16:49:10.261032,0,3.62GB,3.35GB,97.60MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,9.48MB
2020-01-28 16:50:10.517166,0,3.62GB,3.35GB,97.56MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,9.57MB
2020-01-28 16:51:10.772969,0,3.62GB,3.35GB,97.59MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,9.76MB
2020-01-28 16:52:11.037182,0,3.62GB,3.35GB,97.40MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,9.94MB
2020-01-28 16:53:11.253285,0,3.62GB,3.35GB,97.51MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.04MB
2020-01-28 16:54:11.508993,0,3.62GB,3.35GB,97.35MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.13MB
2020-01-28 16:55:11.765187,0,3.62GB,3.35GB,97.37MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.23MB
2020-01-28 16:56:12.028831,0,3.62GB,3.35GB,97.32MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.30MB
2020-01-28 16:57:12.291787,0,3.62GB,3.35GB,97.32MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.39MB
2020-01-28 16:58:12.533042,0,3.62GB,3.36GB,97.23MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.49MB
2020-01-28 16:59:12.757165,0,3.62GB,3.36GB,97.07MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.55MB
2020-01-28 17:00:13.020846,0,3.62GB,3.36GB,97.10MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.68MB
2020-01-28 17:01:13.273257,0,3.62GB,3.36GB,96.90MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.80MB
2020-01-28 17:02:13.525039,0,3.62GB,3.36GB,96.96MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.88MB
2020-01-28 17:03:13.781316,0,3.62GB,3.36GB,96.88MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,10.96MB
2020-01-28 17:04:14.044903,0,3.62GB,3.36GB,96.66MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.05MB
2020-01-28 17:05:14.299251,0,3.62GB,3.36GB,96.79MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.14MB
2020-01-28 17:06:14.516914,0,3.62GB,3.36GB,96.63MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.20MB
2020-01-28 17:07:14.773196,0,3.62GB,3.36GB,96.55MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.29MB
2020-01-28 17:08:15.036848,0,3.62GB,3.36GB,96.41MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.42MB
2020-01-28 17:09:15.253251,0,3.62GB,3.36GB,96.50MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.52MB
2020-01-28 17:10:15.509148,0,3.62GB,3.36GB,96.52MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.61MB
2020-01-28 17:11:15.765059,0,3.62GB,3.36GB,96.39MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.68MB
2020-01-28 17:12:16.028815,0,3.62GB,3.36GB,96.35MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.78MB
2020-01-28 17:13:16.292636,0,3.62GB,3.36GB,96.19MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.84MB
2020-01-28 17:14:16.533443,0,3.62GB,3.36GB,96.09MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,11.93MB
2020-01-28 17:15:16.757091,0,3.62GB,3.36GB,96.00MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,12.22MB
2020-01-28 17:16:17.020771,0,3.62GB,3.36GB,96.16MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,12.32MB
2020-01-28 17:17:17.273122,0,3.62GB,3.36GB,96.19MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,12.42MB
2020-01-28 17:18:17.525177,0,3.62GB,3.36GB,96.09MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,12.57MB
2020-01-28 17:19:17.781259,0,3.62GB,3.36GB,96.16MB,7.2,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,12.63MB
2020-01-28 17:20:18.045027,0,3.62GB,3.35GB,99.12MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,12.74MB
2020-01-28 17:21:18.261010,0,3.62GB,3.35GB,99.06MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,12.84MB
2020-01-28 17:22:18.517144,0,3.62GB,3.35GB,99.01MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,12.93MB
2020-01-28 17:23:18.773179,0,3.62GB,3.35GB,98.92MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.02MB
2020-01-28 17:24:19.037926,0,3.62GB,3.35GB,98.69MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.10MB
2020-01-28 17:25:19.253172,0,3.62GB,3.35GB,98.76MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.19MB
2020-01-28 17:26:19.509161,0,3.62GB,3.35GB,98.55MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.29MB
2020-01-28 17:27:19.765101,0,3.62GB,3.35GB,98.61MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.34MB
2020-01-28 17:28:20.028866,0,3.62GB,3.35GB,98.41MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.45MB
2020-01-28 17:29:20.292789,0,3.62GB,3.35GB,98.45MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.55MB
2020-01-28 17:30:20.533071,0,3.62GB,3.35GB,98.40MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.65MB
2020-01-28 17:31:20.757255,0,3.62GB,3.35GB,98.34MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.75MB
2020-01-28 17:32:21.020873,0,3.62GB,3.35GB,98.23MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.81MB
2020-01-28 17:33:21.273176,0,3.62GB,3.35GB,98.25MB,7.3,0.00B,0.00B,0.00B,0,9.78GB,5.28GB,3.98GB,57,85.84MB,13.91MB
