ano;mes;processo_numero;colocacao_lona_situacao;colocacao_lona_data;colocacao_lona_justificativa;colocacao_lona_metragem;colocacao_lona_qtd_pontos
 2013;02-fevereiro;8002108013;Sim;25/02/2013;2-15X08; 240; 1
 0;Não informado;8003832612;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E O FIM DO INVERNO.; 0; 0
 0;Não informado;8005348412;Não;;Lona no local.; 0; 0
 0;Não informado;8003833212;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E O FIM DO INVERNO.; 0; 0
 2013;03-marco;8002630913;Sim;05/03/2013;1-15X08; 120; 1
 2012;07-julho;8004032312;Sim;09/07/2012;lona colocada; 120; 1
 2012;06-junho;8004331012;Sim;21/06/2012;Colocação de lonas em barreiras adjacentes aos números 142, 51, 56, 23, 52, 23 E,14, 36,96 da mesma rua.; 1080; 9
 2013;02-fevereiro;8003834912;Sim;22/02/2013;LONA COLOCADA; 160; 1
 2013;04-abril;8003909912;Sim;03/04/2013;LONA COLOCADA; 160; 1
 2012;08-agosto;8004034612;Sim;07/08/2012;; 480; 1
 2012;06-junho;8004381812;Sim;24/06/2012;; 160; 1
 2012;06-junho;8003854012;Sim;21/06/2012;; 200; 1
 2012;06-junho;8003844412;Sim;19/06/2012;; 520; 1
 0;Não informado;8003723212;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8003756812;Sim;13/07/2012;lona colocada; 400; 1
 2012;07-julho;8003722612;Sim;23/07/2012;lona colocada; 240; 1
 0;Não informado;8003805912;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003839012;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 2012;07-julho;8003810212;Sim;19/07/2012;; 240; 1
 0;Não informado;8003814812;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;08-agosto;8003900112;Sim;17/08/2012;; 440; 1
 0;Não informado;8005623512;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8003783512;Sim;03/07/2012;; 120; 1
 2012;07-julho;8003785812;Sim;09/07/2012;lona colocada; 120; 1
 2012;06-junho;8003787012;Sim;21/06/2012;; 240; 1
 0;Não informado;8003788712;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 0;Não informado;8003784112;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003789312;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 2012;07-julho;8003790112;Sim;09/07/2012;; 480; 1
