Organism,Groups,Size,Chromosomes,Organelles,Plasmids,Assemblies
'Brassica napus' phytoplasma,Bacteria;Terrabacteria group;Tenericutes,0.743598,0,0,0,1
'Candidatus Kapabacteria' thiocyanatum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,3.27299,0,0,0,1
'Catharanthus roseus' aster yellows phytoplasma,Bacteria;Terrabacteria group;Tenericutes,0.603949,1,0,1,1
'Chrysanthemum coronarium' phytoplasma,Bacteria;Terrabacteria group;Tenericutes,0.739592,0,0,0,1
'Echinacea purpurea' witches'-broom phytoplasma,Bacteria;Terrabacteria group;Tenericutes,0.545427,0,0,0,1
'Osedax' symbiont bacterium Rs2_46_30_T18,Bacteria;unclassified Bacteria;unclassified Bacteria (miscellaneous),4.02183,0,0,0,1
'Sphingomonas ginsengisoli' Hoang et al. 2012,Bacteria;Proteobacteria;Alphaproteobacteria,3.03639,0,0,0,1
Abaca bunchy top virus,Viruses;Other;Nanoviridae,0.006422,6,0,0,2
Abalone herpesvirus Victoria/AUS/2009,Viruses;Other;Malacoherpesviridae,0.211518,1,0,0,1
Abalone shriveling syndrome-associated virus,Viruses;Other;Other,0.034952,1,0,0,1
Abditibacterium utsteinense,Bacteria;Terrabacteria group;Abditibacteriota,3.60633,0,0,0,1
Abelson murine leukemia virus,Viruses;Other;Retroviridae,0.005894,1,0,0,1
Abeoforma whisleri,Eukaryota;Protists;Other Protists,101.554,0,0,0,1
Abiotrophia,Bacteria;Terrabacteria group;Firmicutes,2.02078,0,0,0,1
Abiotrophia defectiva,Bacteria;Terrabacteria group;Firmicutes,2.04344,0,0,0,1
Abisko virus,Viruses;Other;Other,0.010187,1,0,0,1
Abrus precatorius,Eukaryota;Plants;Land Plants,347.23,0,0,0,1
Absidia glauca,Eukaryota;Fungi;Other Fungi,48.7464,0,0,0,1
Absidia repens,Eukaryota;Fungi;Other Fungi,47.4229,0,0,0,1
Absiella,Bacteria;Terrabacteria group;Firmicutes,4.73933,0,0,0,7
Absiella dolichum,Bacteria;Terrabacteria group;Firmicutes,2.19105,0,0,0,3
Abutilon Brazil virus,Viruses;Other;Geminiviridae,0.005271,2,0,0,1
Abutilon golden mosaic virus,Viruses;Other;Geminiviridae,0.002629,1,0,0,1
Abutilon mosaic Bolivia virus,Viruses;Other;Geminiviridae,0.005399,2,0,0,1
